series_id,history_length,start_offset,model,horizon,mae,rmse,mape
RSCCAS,12,0,ARIMA,12,219.97427341297498,242.6620821482344,2.1751759214163164
RSCCAS,12,0,LinearRegression,6,260.68453768453645,290.7065733622345,2.6312255304806813
RSCCAS,12,0,LinearRegression,12,281.0549728049714,308.9913608538472,2.7960903566457374
RSCCAS,12,195,Prophet,6,1017.4038772435664,1106.4175488890842,6.100969992421459
RSCCAS,12,195,Prophet,12,1730.9973625234827,1936.2740855882969,10.255002580782174
RSCCAS,12,195,ARIMA,6,681.340099915696,698.0424362069601,4.090346848925227
RSCCAS,12,195,ARIMA,12,827.6510469551118,868.5763296407989,4.91216449987116
RSCCAS,12,195,LinearRegression,6,1025.9428904428917,1114.0444439717394,6.152344339953038
RSCCAS,12,195,LinearRegression,12,1739.6182983683,1944.3638306057883,10.306254155227423
RSCCAS,12,390,Prophet,6,208.3866055198323,233.1160910569181,0.7677009984794316
RSCCAS,12,390,Prophet,12,238.47084579571552,283.14881664424433,0.8704546526874066
RSCCAS,12,390,ARIMA,6,203.72985048693712,225.52315412075652,0.750187429019816
RSCCAS,12,390,ARIMA,12,211.31144356401242,239.85117564292148,0.7719829368108673
RSCCAS,12,390,LinearRegression,6,277.3564491064505,320.88297646677995,1.0208389767106978
RSCCAS,12,390,LinearRegression,12,231.9685314685321,275.90044683820514,0.8474296637362867
RSCCAS,24,0,Prophet,6,569.7635112849488,675.2586832739914,5.506040660576339
RSCCAS,24,0,Prophet,12,789.9401610434657,875.1928403926964,7.530479789749521
RSCCAS,24,0,ARIMA,6,114.53291713688486,148.64999287742012,1.1051911158491194
RSCCAS,24,0,ARIMA,12,236.73250094043638,288.7650723887366,2.2460186928833554
RSCCAS,24,0,LinearRegression,6,187.65487922705293,213.4036420609181,1.8363128865854073
RSCCAS,24,0,LinearRegression,12,145.93053140096603,175.46549546076125,1.4154881690238847
RSCCAS,24,189,Prophet,6,458.3234196809993,565.0911670417604,2.6854468912587235
RSCCAS,24,189,Prophet,12,370.24115721409197,468.93464572335,2.164451151139862
RSCCAS,24,189,ARIMA,6,248.0037712159004,329.90281532990105,1.4471387514408076
RSCCAS,24,189,ARIMA,12,364.5908757651341,416.0683068064452,2.120755122526486
RSCCAS,24,189,LinearRegression,6,939.6376811594206,1018.5650901845498,5.520993928417433
RSCCAS,24,189,LinearRegression,12,1353.4152173913046,1447.504217364483,7.894422270409092
RSCCAS,24,378,Prophet,6,1267.8693154372515,1347.7304586147163,4.667076456273777
RSCCAS,24,378,Prophet,12,1591.4252814654747,1676.197803647247,5.792505755071917
RSCCAS,24,378,ARIMA,6,573.6000610069786,596.9157087232192,2.1090054514904937
RSCCAS,24,378,ARIMA,12,852.5167276736453,927.6400239419039,3.0907794466208824
RSCCAS,24,378,LinearRegression,6,745.8931159420268,757.1135390290851,2.7453198974992348
RSCCAS,24,378,LinearRegression,12,810.4467391304328,833.0251196060742,2.9478247027206095
RSCCAS,60,0,Prophet,6,216.97610358275688,286.55453840965424,1.9751819736403071
RSCCAS,60,0,Prophet,12,150.80604884216186,215.0988312992155,1.3510768978683196
RSCCAS,60,0,ARIMA,6,185.24181725171366,224.01862724004016,1.6688625378340194
RSCCAS,60,0,ARIMA,12,331.150301170094,383.66043059118397,2.8904038930122318
RSCCAS,60,0,LinearRegression,6,183.5133432126213,268.9035838574832,1.6793557576471208
RSCCAS,60,0,LinearRegression,12,149.76135191874255,213.70697325256427,1.3377442575393428
RSCCAS,60,171,Prophet,6,325.48776283004617,353.68561132760783,1.7416250072270818
RSCCAS,60,171,Prophet,12,413.23829529678613,542.8896794104922,2.152906378858381
RSCCAS,60,171,ARIMA,6,421.787762103843,475.7037587611148,2.2523201528409516
RSCCAS,60,171,ARIMA,12,705.6573979612298,825.9570020467214,3.6849980686580026
RSCCAS,60,171,LinearRegression,6,1483.2139436880632,1500.9040429271467,7.954464029841013
RSCCAS,60,171,LinearRegression,12,1795.859150690009,1853.3318403335438,9.453069958300514
RSCCAS,60,342,Prophet,6,1110.559845808418,1144.411674861241,4.086518263895844
RSCCAS,60,342,Prophet,12,1155.546508659203,1203.1254202118023,4.208539468741459
RSCCAS,60,342,ARIMA,6,586.9474823203133,609.7271334222357,2.158169375181855
RSCCAS,60,342,ARIMA,12,865.8205717338427,939.8598017763206,3.139291957323943
RSCCAS,60,342,LinearRegression,6,149.85864437652344,151.6760918606618,0.5516210859058026
RSCCAS,60,342,LinearRegression,12,163.88646228890684,188.12748494399983,0.5980795230108417
RSGASS,6,0,Prophet,6,20.531990506799048,27.723098055066885,0.15624980967898136
